player_id,player_name,position,age,nationality,height,foot,contract,market_value,club_id
867688,Jack Hinshelwood,Right-Back,19,England,"1,82m",right,"Jun 30, 2028",€16.00m,1237
504148,Tariq Lamptey,Right-Back,23,"Ghana, England","1,63m",right,"Jun 30, 2025",€12.00m,1237
111195,Joël Veltman,Right-Back,32,Netherlands,"1,84m",right,"Jun 30, 2025",€10.00m,1237
415381,Mats Wieffer,Defensive Midfield,24,Netherlands,"1,88m",right,"Jun 30, 2029",€30.00m,1237
973085,Carlos Baleba,Defensive Midfield,20,Cameroon,"1,79m",left,"Jun 30, 2028",€22.00m,1237
406634,Matt O'Riley,Central Midfield,23,"Denmark, England","1,89m",left,"Jun 30, 2029",€20.00m,1237
384461,Jakub Moder,Central Midfield,25,Poland,"1,91m",right,"Jun 30, 2025",€10.00m,1237
667287,Yasin Ayari,Central Midfield,20,"Sweden, Tunisia","1,72m",right,"Jun 30, 2027",€4.50m,1237
3333,James Milner,Central Midfield,38,England,"1,75m",right,"Jun 30, 2025",€1.00m,1237
660867,Julio Enciso,Attacking Midfield,20,Paraguay,"1,73m",right,"Jun 30, 2026",€22.00m,1237
504849,Kaoru Mitoma,Left Winger,27,Japan,"1,78m",right,"Jun 30, 2027",€45.00m,1237
658536,Simon Adingra,Right Winger,22,Cote d'Ivoire,"1,75m",right,"Jun 30, 2026",€30.00m,1237
700106,Brajan Gruda,Right Winger,20,"Germany, Albania","1,78m",left,"Jun 30, 2028",€20.00m,1237
209212,Solly March,Right Winger,30,England,"1,80m",left,"Jun 30, 2026",€18.00m,1237
1012534,Yankuba Minteh,Right Winger,20,The Gambia,"1,80m",left,"Jun 30, 2029",€16.00m,1237
648046,Evan Ferguson,Centre-Forward,19,"Ireland, England","1,88m",right,"Jun 30, 2029",€50.00m,1237
626724,João Pedro,Centre-Forward,23,Brazil,"1,88m",right,"Jun 30, 2028",€45.00m,1237
538977,Georginio Rutter,Centre-Forward,22,"France, Martinique","1,82m",left,"Jun 30, 2028",€18.00m,1237
67063,Danny Welbeck,Centre-Forward,33,"England, Ghana","1,85m",right,"Jun 30, 2026",€5.00m,1237
120629,Alphonse Areola,Goalkeeper,31,"France, Philippines","1,95m",right,"Jun 30, 2027",€10.00m,379
61697,Wes Foderingham,Goalkeeper,33,England,"1,85m",left,"Jun 30, 2026",€900k,379
29692,Lukasz Fabianski,Goalkeeper,39,Poland,"1,90m",right,"Jun 30, 2025",€700k,379
605184,Jean-Clair Todibo,Centre-Back,24,"France, French Guiana","1,90m",right,"Jun 30, 2025",€35.00m,379
525247,Max Kilman,Centre-Back,27,"England, Ukraine","1,94m",left,"Jun 30, 2031",€32.00m,379
415912,Konstantinos Mavropanos,Centre-Back,26,Greece,"1,94m",right,"Jun 30, 2028",€20.00m,379
845321,Kaelan Casey,Centre-Back,19,England,"1,85m",right,"Jun 30, 2027",€1.00m,379
181778,Emerson,Left-Back,30,"Italy, Brazil","1,76m",left,"Jun 30, 2026",€12.00m,379
92571,Aaron Cresswell,Left-Back,34,England,"1,70m",left,"Jun 30, 2025",€900k,379
477758,Aaron Wan-Bissaka,Right-Back,26,"England, DR Congo","1,83m",right,"Jun 30, 2031",€20.00m,379
157672,Vladimír Coufal,Right-Back,32,Czech Republic,"1,74m",right,"Jun 30, 2025",€8.00m,379
401356,Edson Álvarez,Defensive Midfield,26,Mexico,"1,90m",right,"Jun 30, 2028",€35.00m,379
283628,Tomas Soucek,Defensive Midfield,29,Czech Republic,"1,92m",right,"Jun 30, 2027",€30.00m,379
342385,Guido Rodríguez,Defensive Midfield,30,"Argentina, Italy","1,85m",right,N/A,€20.00m,379
372246,Carlos Soler,Central Midfield,27,Spain,"1,80m",right,"Jun 30, 2025",€20.00m,379
430310,Andy Irving,Central Midfield,24,Scotland,"1,90m",left,"Jun 30, 2026",€2.00m,379
444523,Lucas Paquetá,Attacking Midfield,27,"Brazil, Portugal","1,80m",left,"Jun 30, 2027",€65.00m,379
543499,Mohammed Kudus,Attacking Midfield,24,Ghana,"1,77m",left,"Jun 30, 2028",€50.00m,379
474701,Crysencio Summerville,Left Winger,22,"Netherlands, Suriname","1,74m",right,"Jun 30, 2029",€20.00m,379
314875,Jarrod Bowen,Right Winger,27,England,"1,76m",left,"Jun 30, 2030",€50.00m,379
991800,Luis Guilherme,Right Winger,18,Brazil,"1,75m",left,"Jun 30, 2029",€24.00m,379
75489,Niclas Füllkrug,Centre-Forward,31,Germany,"1,89m",right,"Jun 30, 2028",€15.00m,379
134294,Danny Ings,Centre-Forward,32,England,"1,77m",right,"Jun 30, 2025",€8.00m,379
104124,Michail Antonio,Centre-Forward,34,"Jamaica, England","1,80m",right,"Jun 30, 2025",€4.00m,379
258919,Dean Henderson,Goalkeeper,27,England,"1,88m",right,"Jun 30, 2028",€12.00m,873
425306,Matt Turner,Goalkeeper,30,"United States, Lithuania","1,91m",right,"Jun 30, 2025",€7.00m,873
196722,Remi Matthews,Goalkeeper,30,England,"1,92m",right,"Jun 30, 2025",€500k,873
444641,Louie Moulden,Goalkeeper,22,England,"1,90m",right,N/A,€175k,873
392757,Marc Guéhi,Centre-Back,24,"England, Cote d'Ivoire","1,82m",right,"Jun 30, 2026",€38.00m,873
434224,Maxence Lacroix,Centre-Back,24,"France, Guadeloupe","1,90m",right,"Jun 30, 2029",€20.00m,873
689637,Chadi Riad,Centre-Back,21,"Morocco, Spain","1,87m",left,"Jun 30, 2029",€15.00m,873
346314,Trevoh Chalobah,Centre-Back,25,"England, Sierra Leone","1,92m",right,"May 31, 2025",€13.00m,873
578539,Chris Richards,Centre-Back,24,United States,"1,88m",right,"Jun 30, 2027",€12.00m,873
253341,Rob Holding,Centre-Back,29,England,"1,89m",right,"Jun 30, 2026",€5.00m,873
